tweet_id,review_text,hs,m_hs,annotation_id,created_at,updated_at,phase,lead_time,annotator_name,source,split_hs,split_m_hs
1478696159766097920,"@TwitterUser hahaha, wär geil wenn das stimmt",0,0,5011,2022-03-23T16:48:23.234897Z,2022-03-23T16:48:23.234915Z,3,2.888,1,gmhp7k,train,train
hasoc_de_1996,"Irland 🇮🇪     Dieses verstörende Video wurde in den Dubliner Bergen während der Eid al-Adha gefilmt.    Darin sehen wir eine Gruppe Muslime, die ein Lamm auf den Boden stecken und ihm die Kehle durchschneiden.    Die Barbarei des Halal-Gemetzels kennt keine Grenzen.",1,0,5010,2022-03-23T16:48:18.578298Z,2022-03-23T16:48:18.578324Z,3,17.419,1,hasoc_2019,train,train
1481664280713907968,@TwitterUser Mareile ist ziemlich toxisch. Und heiße Luft produziert sie ebenfalls reichlich.,0,0,5009,2022-03-23T16:47:59.457107Z,2022-03-23T16:47:59.457131Z,3,9.925,1,gmhp7k,train,train
1473010577530408960,"ich weiß, aber du hast irgendwann gemeint du gehst da raus oder irgendsowas. hab das handy auch ""säubern"" müssen.",0,0,5008,2022-03-23T16:47:35.689926Z,2022-03-23T16:47:35.689944Z,3,6.853,1,gmhp7k,train,test
1440748109932350976,@TwitterUser Kritik an Antisemiten ist neuerdings rechtsextrem. Hat auch wieder keiner gewusst.,0,0,5007,2022-03-23T16:47:27.102173Z,2022-03-23T16:47:27.102189Z,3,9.775,1,gmhp7k,test,test
1474460385432731904,@TwitterUser stimmt net ganz. ak war bei uns erst ab der 7-ten klasse.,0,0,5006,2022-03-23T16:46:51.428448Z,2022-03-23T16:46:51.428466Z,3,5.217,1,gmhp7k,train,val
hasoc_de_3725,"@TwitterUser Und jetzt? Bist trotzdem ein HS. Du bist der beste Beweis dass man keine Mutter braucht um ein Hurensohn zu sein. Frust bei dir izzda weil du unterlegen bist :). Und wir wissen alle, dass türkisch eine der schönsten Sprachen der Welt ist ❤️🙏🏼",1,0,5004,2022-03-23T16:41:45.830754Z,2022-03-23T16:41:45.830787Z,3,13.672,1,hasoc_2019,train,train
1157961804754107904,"@TwitterUser Sheesh Brate, Litauen etzala auch Balkan?",0,0,5003,2022-03-23T16:41:31.631604Z,2022-03-23T16:41:31.631621Z,3,5.436,1,gmhp7k,train,train
hasoc_de_1063,"Unsere Kinder werden geschändet, die Masse läuft einer (nicht ganz bei Sinnen) 16.jährigen hinterher.     Aufschrei ?Rufe nach Gerechtigkeit?      Dessau:Nigerianer nach schwerem sexuellen Missbrauch eines 9-jährigen Kindes festgenommen  via @TwitterUser",1,0,5002,2022-03-23T16:41:25.680306Z,2022-03-23T16:41:25.680329Z,3,14.513,1,hasoc_2019,train,train
1461426798496002048,@TwitterUser Journalist? Ich lach mich schlapp🤣🤣🤣,0,0,5001,2022-03-23T16:41:10.749172Z,2022-03-23T16:41:10.749200Z,3,2.722,1,gmhp7k,train,test
1473372787599364096,"undeutsch, einfach",0,0,5000,2022-03-23T16:41:07.452788Z,2022-03-23T16:41:07.452805Z,3,3.43,1,gmhp7k,val,train
1438126562092666880,@TwitterUser Grün rote müssen Tempo 100 auf Autobahnen einführen.,0,0,4999,2022-03-23T16:41:03.446543Z,2022-03-23T16:41:03.446569Z,3,4.259,1,gmhp7k,train,train
1125684797794393984,@TwitterUser Was zum arsch ist thinspo?,0,0,4998,2022-03-23T16:40:58.408970Z,2022-03-23T16:40:58.408996Z,3,3.299,1,gmhp7k,val,train
