variant,label,precision,recall,f1,f2,mcc,s_score,support_pos,support_total,n_success,n_fallback,runtime_s,avg_latency_s
joint_basic,hate_speech,0.3846,0.1064,0.1667,0.1244,0.1627,0.3529,47,500,,,,
joint_basic,toxic,0.5588,0.475,0.5135,0.4897,0.3033,0.5707,40,121,,,,
joint_basic,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_basic,insult,0.3049,0.5319,0.3876,0.463,0.2359,0.5405,47,280,,,,
joint_basic,MACRO,0.3121,0.2783,0.2669,0.2693,0.1755,0.4285,134,1060,450,0,1022.6,2.272
joint_definitions,hate_speech,0.3333,0.1915,0.2432,0.2093,0.1959,0.4036,47,500,,,,
joint_definitions,toxic,0.6216,0.575,0.5974,0.5838,0.4106,0.6445,40,121,,,,
joint_definitions,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_definitions,insult,0.386,0.4681,0.4231,0.449,0.295,0.5483,47,280,,,,
joint_definitions,MACRO,0.3352,0.3086,0.3159,0.3105,0.2254,0.4616,134,1060,450,0,1033.7,2.297
joint_fewshot,hate_speech,0.2778,0.3191,0.297,0.3099,0.2191,0.4597,47,500,,,,
joint_fewshot,toxic,0.5556,0.5,0.5263,0.5102,0.3112,0.5829,40,121,,,,
joint_fewshot,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_fewshot,insult,0.4146,0.3617,0.3864,0.3712,0.2735,0.504,47,280,,,,
joint_fewshot,MACRO,0.312,0.2952,0.3024,0.2978,0.201,0.4492,134,1060,450,0,1234.8,2.744
joint_rules,hate_speech,0.3056,0.234,0.2651,0.2455,0.2019,0.4232,47,500,,,,
joint_rules,toxic,0.5758,0.475,0.5205,0.4922,0.3192,0.5759,40,121,,,,
joint_rules,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_rules,insult,0.3382,0.4894,0.4,0.4492,0.2582,0.5392,47,280,,,,
joint_rules,MACRO,0.3049,0.2996,0.2964,0.2967,0.1948,0.4471,134,1060,450,0,1257.5,2.794
joint_selfcheck,hate_speech,0.303,0.2128,0.25,0.2262,0.1904,0.4107,47,500,,,,
joint_selfcheck,toxic,0.5714,0.6,0.5854,0.5941,0.3733,0.6404,40,121,,,,
joint_selfcheck,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_selfcheck,insult,0.3,0.4468,0.359,0.407,0.2041,0.5045,47,280,,,,
joint_selfcheck,MACRO,0.2936,0.3149,0.2986,0.3068,0.192,0.4514,134,1060,450,0,1140.2,2.534
