variant,label,precision,recall,f1,f2,mcc,s_score,support_pos,support_total,n_success,n_fallback,runtime_s,avg_latency_s
joint_basic,hate_speech,0.4286,0.1277,0.1967,0.1485,0.1946,0.3729,47,500,,,,
joint_basic,toxic,0.5556,0.5,0.5263,0.5102,0.3112,0.5829,40,121,,,,
joint_basic,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_basic,insult,0.3333,0.6383,0.438,0.5396,0.3047,0.596,47,280,,,,
joint_basic,MACRO,0.3294,0.3165,0.2902,0.2996,0.2026,0.4504,134,1060,0,0,0.0,0.0
joint_definitions,hate_speech,0.3214,0.1915,0.24,0.2083,0.1898,0.4016,47,500,,,,
joint_definitions,toxic,0.619,0.65,0.6341,0.6436,0.4471,0.6836,40,121,,,,
joint_definitions,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_definitions,insult,0.4127,0.5532,0.4727,0.5179,0.353,0.5972,47,280,,,,
joint_definitions,MACRO,0.3383,0.3487,0.3367,0.3425,0.2475,0.4831,134,1060,0,0,0.0,0.0
joint_fewshot,hate_speech,0.2656,0.3617,0.3063,0.3373,0.2253,0.475,47,500,,,,
joint_fewshot,toxic,0.561,0.575,0.5679,0.5721,0.3506,0.6237,40,121,,,,
joint_fewshot,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_fewshot,insult,0.4565,0.4468,0.4516,0.4487,0.3424,0.56,47,280,,,,
joint_fewshot,MACRO,0.3208,0.3459,0.3315,0.3395,0.2296,0.4772,134,1060,0,0,0.0,0.0
joint_rules,hate_speech,0.3158,0.2553,0.2824,0.2655,0.218,0.4372,47,500,,,,
joint_rules,toxic,0.5676,0.525,0.5455,0.533,0.3344,0.6001,40,121,,,,
joint_rules,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_rules,insult,0.3611,0.5532,0.437,0.5,0.3042,0.5761,47,280,,,,
joint_rules,MACRO,0.3111,0.3334,0.3162,0.3246,0.2141,0.4658,134,1060,0,0,0.0,0.0
joint_selfcheck,hate_speech,0.3404,0.3404,0.3404,0.3404,0.272,0.4882,47,500,,,,
joint_selfcheck,toxic,0.5333,0.6,0.5647,0.5854,0.3317,0.6256,40,121,,,,
joint_selfcheck,threat,0.0,0.0,0.0,0.0,0.0,0.25,0,159,,,,
joint_selfcheck,insult,0.3649,0.5745,0.4463,0.5153,0.3159,0.5866,47,280,,,,
joint_selfcheck,MACRO,0.3097,0.3787,0.3379,0.3603,0.2299,0.4876,134,1060,0,0,0.0,0.0
