system,label,n,pos,precision,recall,f1,f2,mcc,s_score
BERT only (E7),hate_speech,13250,1422,0.32265228426395937,0.7151898734177216,0.444687363358111,0.5752262443438915,0.38868114074536725,0.6347834073582875
BERT only (E7),toxic,2722,819,0.5984182776801406,0.8315018315018315,0.6959632089933572,0.7714091526959673,0.5498708216144894,0.773172281751606
BERT only (E7),threat,4376,21,0.25,0.3333333333333333,0.28571428571428575,0.3125,0.2847280428479788,0.4774320107119947
BERT only (E7),insult,7098,1296,0.4257981018119068,0.7615740740740741,0.5462091864969564,0.6578245801119702,0.4384008930937099,0.6885125133294125
BERT only (E7),MACRO,27446,3558,0.3992171659390017,0.6603997780817401,0.49314351114067756,0.5792399942879572,0.4154202245753863,0.6434750532878252
"LLM only (E10, BERT-fallback)",hate_speech,13250,1422,0.4493731918997107,0.32770745428973275,0.37901586010573396,0.3464684014869889,0.3220188620684188,0.5037389162605992
"LLM only (E10, BERT-fallback)",toxic,2722,819,0.6454849498327759,0.706959706959707,0.6748251748251749,0.693745506829619,0.5267577402949921,0.7285621884885576
"LLM only (E10, BERT-fallback)",threat,4376,21,0.13333333333333333,0.47619047619047616,0.20833333333333334,0.31446540880503143,0.24560600073063374,0.46863420458517413
"LLM only (E10, BERT-fallback)",insult,7098,1296,0.4628632938643703,0.6635802469135802,0.5453392517438174,0.610621982391366,0.43200498762523587,0.663312238101992
"LLM only (E10, BERT-fallback)",MACRO,27446,3558,0.4227636922325475,0.5436094710883741,0.45187840500201487,0.4913253248782513,0.38159689767982014,0.5910618868590807
Per-label static routing,hate_speech,13250,1422,0.32265228426395937,0.7151898734177216,0.444687363358111,0.5752262443438915,0.38868114074536725,0.6347834073582875
Per-label static routing,toxic,2722,819,0.5984182776801406,0.8315018315018315,0.6959632089933572,0.7714091526959673,0.5498708216144894,0.773172281751606
Per-label static routing,threat,4376,21,0.25,0.3333333333333333,0.28571428571428575,0.3125,0.2847280428479788,0.4774320107119947
Per-label static routing,insult,7098,1296,0.4257981018119068,0.7615740740740741,0.5462091864969564,0.6578245801119702,0.4384008930937099,0.6885125133294125
Per-label static routing,MACRO,27446,3558,0.3992171659390017,0.6603997780817401,0.49314351114067756,0.5792399942879572,0.4154202245753863,0.6434750532878252
Uncertainty routing (r=0.15),hate_speech,13250,1422,0.4036740461610928,0.6026722925457103,0.4834978843441467,0.5485853283830495,0.4182212832864882,0.6288479850131468
Uncertainty routing (r=0.15),toxic,2722,819,0.6450704225352113,0.8388278388278388,0.7292993630573248,0.7912923289564616,0.6016403511901278,0.7960562522757628
Uncertainty routing (r=0.15),threat,4376,21,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2380952380952381,0.23442130009294188,0.4276529440708545
Uncertainty routing (r=0.15),insult,7098,1296,0.4618320610687023,0.7469135802469136,0.570754716981132,0.6648351648351648,0.4679015475043494,0.6993929692936698
Uncertainty routing (r=0.15),MACRO,27446,3558,0.43716794196506115,0.6066272374289252,0.5054118006194603,0.5607020150674785,0.43054612051847685,0.6379875376633585
Uncertainty threat-only (r=0.15),hate_speech,13250,1422,0.32265228426395937,0.7151898734177216,0.444687363358111,0.5752262443438915,0.38868114074536725,0.6347834073582875
Uncertainty threat-only (r=0.15),toxic,2722,819,0.5984182776801406,0.8315018315018315,0.6959632089933572,0.7714091526959673,0.5498708216144894,0.773172281751606
Uncertainty threat-only (r=0.15),threat,4376,21,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2380952380952381,0.23442130009294188,0.4276529440708545
Uncertainty threat-only (r=0.15),insult,7098,1296,0.4257981018119068,0.7615740740740741,0.5462091864969564,0.6578245801119702,0.4384008930937099,0.6885125133294125
Uncertainty threat-only (r=0.15),MACRO,27446,3558,0.39624097546281123,0.6365902542722163,0.4812387492359157,0.5606388038117668,0.40284353888662705,0.6310302866275401
